# concept	prose pattern	identifier pattern	landmarks (curated)	search alias
function extensionality	function(al)? extensionality	funext|FunExt|Fun-Ext|dfunext	funext, Fun-Ext, dfunext
circle	the circle|S¹	S¹|circle	S¹, S¹-recursion, S¹-induction
loop space	loop space|fundamental group	loop|π₁	loop, conjugate-loop, loops
lambda calculus	lambda calculus|λ.calculus	Lambda|lambda|ƛ	Subƛ, 【≡】-【Sub】-Subƛ', 【≡】-【Sub】-Subƛ2
combinatory logic	combinator	[Cc]ombinator	AllCombinators, S-combinator, Y-is-fp-combinator
substitution	substitution	[Ss]ubst	subst, subst-cong, subst-rename-comp
abstract syntax	abstract syntax|syntax of	^Term|Syntax$	Termᵀ, Termᵀ₀
quantifier	quantifier	quantifier|_K_|⊗ᴷ	_⊗ᴷ_, quantifier, quantifiers
product of selection functions	product of selection|sequenceᴶ	sequenceᴶ|⊗ᴶ	sequenceᴶ, sequenceᴶᵀ, _⊗ᴶᵀ_
optimal play	optimal (play|strategy|outcome)	optimal	is-optimal-play, is-optimal-move, is-optimal
subgame perfect equilibrium	subgame|equilibrium	sgpe|equilibrium	is-in-sgpe, is-in-T-sgpe', is-in-T-sgpe
minimax	minimax	minimax	minimax, minimax', minimax⋆
affine monad	affine	[Aa]ffine	is-affine, affine, affine-uniqueness·
relative monad	relative monad	[Rr]elative-?[Mm]onad	Relative-Monad
free algebra	free algebra	free-algebra|Free-Algebra	canonical-free-algebra, free-algebra-eliminators, free-algebras-in-the-category-of-sets
torsor	torsor	[Tt]orsor	is-torsor, is-torsor₁, is-torsor-is-prop
symmetric group	symmetric group	^Aut$|Aut-|symmetric-group	Aut
subgroup	subgroup	[Ss]ubgroup	Subgroup, Subgroups, subgroups-form-a-set
group homomorphism	group homomorphism	^is-hom$|^is-homomorphism$|^homs-	is-hom, is-homomorphism, homs-preserve-unit
ordered field	ordered field|field axioms	[Ff]ield|ordered-field	Ordered-Field, Field, field-structure
Banach fixed point theorem	banach	[Bb]anach	BanachFixedPointTheorem
searchable type	searchab	searchable|csearchable	csearchable, searchable, finite-searchable
sharp element	sharp	sharp	is-sharp, is-sharp⁻, sharp
locally small map	small map|smallness of a map	small-map|is-small-map	_is_small-map, ainjectivity-over-small-maps, _is-small-map
resizing axiom	resizing axiom	Resizing|resizing	resizing-condition, propositional-resizing, Propositional-resizing
algebraic dcpo	algebraic (dcpo|domain)	algebraic	is-algebraic-dcpo, is-continuous-dcpo-if-algebraic-dcpo, is-algebraic-dcpo-if-unspecified-small-compact-basis
